127.0.0.1, 2011-08-14 19:06:10, GET, /admin/static/css/styles.css, HTTP/1.1, 304, 0.000473
127.0.0.1, 2011-08-14 19:06:10, GET, /admin/static/js/web2py_ajax.js, HTTP/1.1, 304, 0.000813
127.0.0.1, 2011-08-14 19:06:10, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000454
127.0.0.1, 2011-08-14 19:06:10, GET, /admin/static/images/header_bg.png, HTTP/1.1, 304, 0.000568
127.0.0.1, 2011-08-14 19:06:10, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 304, 0.000431
127.0.0.1, 2011-08-14 19:06:10, GET, /admin/static/images/sidebar_bullet.gif, HTTP/1.1, 304, 0.000489
127.0.0.1, 2011-08-14 19:06:10, GET, /admin/static/images/help.png, HTTP/1.1, 304, 0.000416
127.0.0.1, 2011-08-14 19:06:10, GET, /admin/static/images/section_bullet.png, HTTP/1.1, 304, 0.000418
127.0.0.1, 2011-08-14 19:06:10, GET, /admin/static/images/start.png, HTTP/1.1, 304, 0.006653
127.0.0.1, 2011-08-14 19:06:10, GET, /admin/static/images/button.png, HTTP/1.1, 404, 0.000373
127.0.0.1, 2011-08-14 19:06:10, GET, /admin/static/images/menu.png, HTTP/1.1, 304, 0.000465
127.0.0.1, 2011-08-14 19:06:10, GET, /admin/static/images/ticket_section.png, HTTP/1.1, 304, 0.000481
127.0.0.1, 2011-08-14 19:06:10, GET, /admin/static/images/small_button.png, HTTP/1.1, 304, 0.000464
127.0.0.1, 2011-08-14 19:06:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000423
127.0.0.1, 2011-08-14 19:06:13, GET, /infovis/visual/treemap.html, HTTP/1.1, 200, 0.017451
127.0.0.1, 2011-08-14 19:06:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000459
127.0.0.1, 2011-08-14 19:24:48, GET, /infovis/visual/treemap.html, HTTP/1.1, 200, 0.042360
127.0.0.1, 2011-08-14 19:24:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000500
127.0.0.1, 2011-08-14 19:24:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000458
127.0.0.1, 2011-08-14 19:25:36, GET, /infovis/visual/treemap.html, HTTP/1.1, 200, 0.016803
127.0.0.1, 2011-08-14 19:26:02, GET, /infovis/visual/treemap.html, HTTP/1.1, 200, 0.015208
127.0.0.1, 2011-08-14 19:26:05, GET, /infovis/visual/treemap.html, HTTP/1.1, 200, 0.021424
127.0.0.1, 2011-08-14 19:27:09, GET, /infovis/visual/treemap.html, HTTP/1.1, 200, 0.017403
127.0.0.1, 2011-08-14 19:28:37, GET, /infovis/visual/treemap.html, HTTP/1.1, 200, 0.024754
127.0.0.1, 2011-08-14 19:29:55, GET, /, HTTP/1.1, 303, 0.001010
127.0.0.1, 2011-08-14 19:29:55, GET, /welcome/default/index, HTTP/1.1, 200, 0.026934
127.0.0.1, 2011-08-14 19:30:01, GET, /welcome/default/index, HTTP/1.1, 200, 0.025677
127.0.0.1, 2011-08-14 19:30:01, GET, /welcome/static/js/modernizr-1.7.min.js, HTTP/1.1, 200, 0.000679
127.0.0.1, 2011-08-14 19:30:01, GET, /welcome/static/css/superfish.css, HTTP/1.1, 200, 0.000547
127.0.0.1, 2011-08-14 19:30:01, GET, /welcome/static/js/superfish.js, HTTP/1.1, 200, 0.000468
127.0.0.1, 2011-08-14 19:30:01, GET, /welcome/static/js/web2py_ajax.js, HTTP/1.1, 200, 0.000405
127.0.0.1, 2011-08-14 19:30:01, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002239
127.0.0.1, 2011-08-14 19:30:01, GET, /welcome/static/css/base.css, HTTP/1.1, 200, 0.000409
127.0.0.1, 2011-08-14 19:30:01, GET, /welcome/static/favicon.ico, HTTP/1.1, 200, 0.000561
127.0.0.1, 2011-08-14 19:30:01, GET, /welcome/static/images/poweredby.png, HTTP/1.1, 200, 0.005798
127.0.0.1, 2011-08-14 19:30:01, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.006007
127.0.0.1, 2011-08-14 19:30:01, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.009531
127.0.0.1, 2011-08-14 19:30:01, GET, /welcome/static/css/handheld.css, HTTP/1.1, 200, 0.007954
127.0.0.1, 2011-08-14 19:30:01, GET, /welcome/static/images/arrows-ffffff.png, HTTP/1.1, 200, 0.000573
127.0.0.1, 2011-08-14 19:30:01, GET, /welcome/static/images/shadow.png, HTTP/1.1, 200, 0.000484
127.0.0.1, 2011-08-14 19:30:05, GET, /, HTTP/1.1, 303, 0.001363
127.0.0.1, 2011-08-14 19:30:05, GET, /welcome/default/index, HTTP/1.1, 200, 0.026404
127.0.0.1, 2011-08-14 19:30:14, GET, /infovis, HTTP/1.1, 200, 0.058704
127.0.0.1, 2011-08-14 19:30:14, GET, /infovis/static/css/handheld.css, HTTP/1.1, 200, 0.000540
127.0.0.1, 2011-08-14 19:30:14, GET, /infovis/static/css/superfish.css, HTTP/1.1, 200, 0.000440
127.0.0.1, 2011-08-14 19:30:14, GET, /infovis/static/js/modernizr-1.7.min.js, HTTP/1.1, 200, 0.002390
127.0.0.1, 2011-08-14 19:30:14, GET, /infovis/static/css/calendar.css, HTTP/1.1, 200, 0.000879
127.0.0.1, 2011-08-14 19:30:14, GET, /infovis/static/js/jquery.js, HTTP/1.1, 200, 0.000559
127.0.0.1, 2011-08-14 19:30:14, GET, /infovis/static/js/calendar.js, HTTP/1.1, 200, 0.000444
127.0.0.1, 2011-08-14 19:30:14, GET, /infovis/static/js/superfish.js, HTTP/1.1, 200, 0.000567
127.0.0.1, 2011-08-14 19:30:14, GET, /infovis/static/css/base.css, HTTP/1.1, 200, 0.000527
127.0.0.1, 2011-08-14 19:30:14, GET, /infovis/static/js/web2py_ajax.js, HTTP/1.1, 200, 0.000501
127.0.0.1, 2011-08-14 19:30:14, GET, /infovis/static/favicon.ico, HTTP/1.1, 200, 0.000469
127.0.0.1, 2011-08-14 19:30:14, GET, /infovis/static/images/poweredby.png, HTTP/1.1, 200, 0.000978
127.0.0.1, 2011-08-14 19:30:14, GET, /infovis/static/images/arrows-ffffff.png, HTTP/1.1, 200, 0.000531
127.0.0.1, 2011-08-14 19:30:14, GET, /infovis/static/images/shadow.png, HTTP/1.1, 200, 0.000456
127.0.0.1, 2011-08-14 19:30:19, GET, /infovis/treemap, HTTP/1.1, 404, 0.013990
127.0.0.1, 2011-08-14 19:30:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000439
127.0.0.1, 2011-08-14 19:30:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000420
127.0.0.1, 2011-08-14 19:30:35, GET, /infovis/visual/treemap, HTTP/1.1, 200, 0.015819
127.0.0.1, 2011-08-14 19:31:03, GET, /infovis/visual/treemap, HTTP/1.1, 200, 0.015627
127.0.0.1, 2011-08-14 19:31:03, GET, /jit-yc.js, HTTP/1.1, 400, 0.001448
127.0.0.1, 2011-08-14 19:31:03, GET, /infovis/css/base.css, HTTP/1.1, 404, 0.035319
127.0.0.1, 2011-08-14 19:31:03, GET, /infovis/visual/example1.js, HTTP/1.1, 404, 0.043783
127.0.0.1, 2011-08-14 19:31:03, GET, /infovis/css/Treemap.css, HTTP/1.1, 404, 0.052640
127.0.0.1, 2011-08-14 19:42:03, GET, /infovis/visual/treemap, HTTP/1.1, 200, 0.015653
127.0.0.1, 2011-08-14 19:42:03, GET, /static/js/Jit/Examples/css/base.css, HTTP/1.1, 404, 0.001169
127.0.0.1, 2011-08-14 19:42:03, GET, /static/js/Jit/Examples/css/Treemap.css, HTTP/1.1, 404, 0.001633
127.0.0.1, 2011-08-14 19:42:03, GET, /static/js/Jit/Examples/Treemap/example1.js, HTTP/1.1, 404, 0.001547
127.0.0.1, 2011-08-14 19:42:03, GET, /static/js/Jit/jit-yc.js, HTTP/1.1, 404, 0.004821
127.0.0.1, 2011-08-14 19:42:03, GET, /static/js/Jit/Examples/Treemap/example1.js, HTTP/1.1, 404, 0.001001
127.0.0.1, 2011-08-14 19:42:05, GET, /infovis/visual/treemap, HTTP/1.1, 200, 0.016460
127.0.0.1, 2011-08-14 19:42:05, GET, /static/js/Jit/Examples/css/base.css, HTTP/1.1, 404, 0.001391
127.0.0.1, 2011-08-14 19:42:05, GET, /static/js/Jit/Examples/css/Treemap.css, HTTP/1.1, 404, 0.001477
127.0.0.1, 2011-08-14 19:42:05, GET, /static/js/Jit/jit-yc.js, HTTP/1.1, 404, 0.001294
127.0.0.1, 2011-08-14 19:42:05, GET, /static/js/Jit/Examples/Treemap/example1.js, HTTP/1.1, 404, 0.001573
127.0.0.1, 2011-08-14 19:42:05, GET, /static/js/Jit/Examples/Treemap/example1.js, HTTP/1.1, 404, 0.000970
127.0.0.1, 2011-08-14 19:44:29, GET, /infovis/visual/treemap, HTTP/1.1, 200, 0.017682
127.0.0.1, 2011-08-14 19:44:29, GET, /static/js/Jit/Examples/css/base.css, HTTP/1.1, 404, 0.001148
127.0.0.1, 2011-08-14 19:44:29, GET, /static/js/Jit/Examples/css/Treemap.css, HTTP/1.1, 404, 0.001803
127.0.0.1, 2011-08-14 19:44:29, GET, /static/js/Jit/jit-yc.js, HTTP/1.1, 404, 0.003339
127.0.0.1, 2011-08-14 19:44:29, GET, /static/js/Jit/Examples/Treemap/example1.js, HTTP/1.1, 404, 0.002783
127.0.0.1, 2011-08-14 19:44:30, GET, /infovis/visual/treemap, HTTP/1.1, 200, 0.015996
127.0.0.1, 2011-08-14 19:44:30, GET, /static/js/Jit/Examples/css/base.css, HTTP/1.1, 404, 0.001112
127.0.0.1, 2011-08-14 19:44:30, GET, /static/js/Jit/Examples/css/Treemap.css, HTTP/1.1, 404, 0.002550
127.0.0.1, 2011-08-14 19:44:30, GET, /static/js/Jit/Examples/Treemap/example1.js, HTTP/1.1, 404, 0.001433
127.0.0.1, 2011-08-14 19:44:30, GET, /static/js/Jit/jit-yc.js, HTTP/1.1, 404, 0.001540
127.0.0.1, 2011-08-14 19:44:30, GET, /static/js/Jit/Examples/Treemap/example1.js, HTTP/1.1, 404, 0.001468
